date,name,price,,
2019-5-13,氯化苯,3900,2016-11-3,4000
2019-5-20,氯化苯,3900,2016-11-4,4000
2019-5-27,氯化苯,3900,2016-11-5,4000
2019-6-3,氯化苯,4000,2016-11-6,4000
2019-6-10,氯化苯,4100,2016-11-7,4100
2019-6-17,氯化苯,4220,2016-11-8,4100
2019-6-24,氯化苯,4100,2016-11-9,4100
2019-7-1,氯化苯,4100,2016-11-10,4100
2019-7-8,氯化苯,4200,2016-11-11,4100
2019-7-15,氯化苯,4300,2016-11-12,4100
2019-7-22,氯化苯,4500,2016-11-13,4100
2019-7-29,氯化苯,4500,2016-11-14,4300
2019-8-5,氯化苯,4500,2016-11-15,4300
2019-8-12,氯化苯,4500,2016-11-16,4300
2019-8-19,氯化苯,4100,2016-11-17,4300
2019-8-26,氯化苯,4100,2016-11-18,4300
2019-9-2,氯化苯,4200,2016-11-19,4300
2019-9-9,氯化苯,4300,2016-11-20,4300
2019-9-16,氯化苯,4300,2016-11-21,4220
2019-9-23,氯化苯,4300,2016-11-22,4220
2019-9-30,氯化苯,4300,2016-11-23,4220
2019-10-7,氯化苯,4300,2016-11-24,4220
2019-10-14,氯化苯,4000,2016-11-25,4220
2019-10-21,氯化苯,4200,2016-11-26,4220
2019-10-28,氯化苯,4200,2016-11-27,4220
2019-11-4,氯化苯,4200,2016-11-28,4600
2019-11-11,氯化苯,4100,2016-11-29,4600
2019-11-18,氯化苯,4200,2016-11-30,4600
2019-11-25,氯化苯,4200,2016-12-1,4600
2019-12-2,氯化苯,4400,2016-12-2,4600
2019-12-9,氯化苯,4300,2016-12-3,4600
2019-12-16,氯化苯,4300,2016-12-4,4600
2019-12-23,氯化苯,4300,2016-12-5,5600
2019-12-30,氯化苯,4200,2016-12-6,5600
2020-1-6,氯化苯,4200,2016-12-7,5600
2020-1-13,氯化苯,4100,2016-12-8,5600
2020-1-20,氯化苯,4100,2016-12-9,5600
2020-1-27,氯化苯,4100,2016-12-10,5600
2020-2-3,氯化苯,4100,2016-12-11,5600
2020-2-10,氯化苯,3950,2016-12-12,5700
2020-2-17,氯化苯,3950,2016-12-13,5700
2020-2-24,氯化苯,3950,2016-12-14,5700
2020-3-2,氯化苯,4120,2016-12-15,5700
2020-3-9,氯化苯,3950,2016-12-16,5700
2020-3-16,氯化苯,3750,2016-12-17,5700
2020-3-23,氯化苯,3630,2016-12-18,5700
2020-3-30,氯化苯,3400,2016-12-19,5700
2020-4-6,氯化苯,3020,2016-12-20,5700
2020-4-13,氯化苯,3070,2016-12-21,5700
2020-4-20,氯化苯,3070,2016-12-22,5700
2020-4-27,氯化苯,2970,2016-12-23,5700
2020-5-4,氯化苯,3050,2016-12-24,5700
2020-5-11,氯化苯,3000,2016-12-25,5700
2020-5-18,氯化苯,2900,2016-12-26,5700
2020-5-25,氯化苯,2950,2016-12-27,5700
2020-6-1,氯化苯,2920,2016-12-28,5700
2020-6-8,氯化苯,2920,2016-12-29,5700
2020-6-15,氯化苯,2970,2016-12-30,5700
2020-6-22,氯化苯,2970,2016-12-31,5700
2020-6-29,氯化苯,2900,2017-1-1,5700
2020-7-6,氯化苯,2930,2017-1-2,5700
2020-7-13,氯化苯,2980,2017-1-3,5700
2020-7-20,氯化苯,3000,2017-1-4,5700
2020-7-27,氯化苯,2950,2017-1-5,5700
2020-8-3,氯化苯,2920,2017-1-6,5700
2020-8-10,氯化苯,2800,2017-1-7,5700
2020-8-17,氯化苯,2800,2017-1-8,5700
2020-8-24,氯化苯,2750,2017-1-9,5400
2020-8-31,氯化苯,2730,2017-1-10,5400
2020-9-7,氯化苯,2830,2017-1-11,5400
2020-9-14,氯化苯,2800,2017-1-12,5400
2020-9-21,氯化苯,2900,2017-1-13,5400
2020-9-28,氯化苯,2900,2017-1-14,5400
2020-10-5,氯化苯,3100,2017-1-15,5400
2020-10-12,氯化苯,3200,2017-1-16,5700
2020-10-19,氯化苯,3800,2017-1-17,5700
2020-10-26,氯化苯,3830,2017-1-18,5700
2020-11-2,氯化苯,4330,2017-1-19,5700
2020-11-9,氯化苯,4480,2017-1-20,5700
2020-11-16,氯化苯,5480,2017-1-21,5700
2020-11-23,氯化苯,5480,2017-1-22,5700
2020-11-30,氯化苯,5480,2017-1-23,5700
2020-12-7,氯化苯,5300,2017-1-24,5700
2020-12-14,氯化苯,5300,2017-1-25,5700
2020-12-21,氯化苯,5300,2017-1-26,5700
2020-12-28,氯化苯,5280,2017-1-27,5700
2021-1-4,氯化苯,5280,2017-1-28,5700
2021-1-11,氯化苯,5300,2017-1-29,5700
2021-1-18,氯化苯,5280,2017-1-30,5700
2021-1-25,氯化苯,5400,2017-1-31,5700
2021-2-1,氯化苯,5450,2017-2-1,5700
2021-2-8,氯化苯,5550,2017-2-2,5700
2021-2-15,氯化苯,5550,2017-2-3,5700
2021-2-22,氯化苯,6050,2017-2-4,5700
2021-3-1,氯化苯,6750,2017-2-5,5700
2021-3-8,氯化苯,6950,2017-2-6,7000
2021-3-15,氯化苯,7150,2017-2-7,7000
2021-3-22,氯化苯,7180,2017-2-8,7000
2021-3-29,氯化苯,7150,2017-2-9,7000
